area_code_per_principal_codes_website,JACS_3.0_subject_area,principal_code,JACS_3.0_principal_subject,area_code_per_detailed_codes_website,area_per_detailed_codes_website,detailed_code,JACS_3.0_detailed_subject,flatJACS_3.0_detailed_subject
1,Medicine & dentistry,A0,Broadly-based programmes within medicine & dentistry,A,Medicine and Dentistry,A000,Medicine & dentistry,Medicine & dentistry
1,Medicine & dentistry,A1,Pre-clinical medicine,A,Medicine and Dentistry,A100,Pre-clinical medicine,Pre-clinical medicine
1,Medicine & dentistry,A2,Pre-clinical dentistry,A,Medicine and Dentistry,A200,Pre-clinical dentistry,Pre-clinical dentistry
1,Medicine & dentistry,A3,Clinical medicine,A,Medicine and Dentistry,A300,Clinical medicine,Clinical medicine
1,Medicine & dentistry,A4,Clinical dentistry,A,Medicine and Dentistry,A400,Clinical dentistry,Clinical dentistry
1,Medicine & dentistry,A9,Others in medicine & dentistry,A,Medicine and Dentistry,A900,Others in medicine & dentistry,Others in medicine & dentistry
2,Subjects allied to medicine,B0,Broadly-based programmes within subjects allied to medicine,B,Subjects Allied to Medicine,B000,Subjects allied to medicine,Subjects allied to medicine
2,Subjects allied to medicine,B1,"Anatomy, physiology & pathology",B,Subjects Allied to Medicine,B100,"Anatomy, physiology & pathology","Anatomy, physiology & pathology"
2,Subjects allied to medicine,B1,"Anatomy, physiology & pathology",B,Subjects Allied to Medicine,B110,Anatomy,Anatomy
2,Subjects allied to medicine,B1,"Anatomy, physiology & pathology",B,Subjects Allied to Medicine,B120,Physiology,Physiology
2,Subjects allied to medicine,B1,"Anatomy, physiology & pathology",B,Subjects Allied to Medicine,B121,Clinical physiology,Clinical physiology
2,Subjects allied to medicine,B1,"Anatomy, physiology & pathology",B,Subjects Allied to Medicine,B130,Pathology,Pathology
2,Subjects allied to medicine,B1,"Anatomy, physiology & pathology",B,Subjects Allied to Medicine,B131,Cellular pathology,Cellular pathology
2,Subjects allied to medicine,B1,"Anatomy, physiology & pathology",B,Subjects Allied to Medicine,B132,Pathobiology,Pathobiology
2,Subjects allied to medicine,B1,"Anatomy, physiology & pathology",B,Subjects Allied to Medicine,B140,Neuroscience,Neuroscience
